Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
14661,LOÉLIA,10,0.3,0.4,0.0,0.3,0.0,0,0,1,0,0,0,0
14662,LOÉLIE,11,0.181818181818182,0.363636363636364,0.272727272727273,0.0,0.181818181818182,0,0,1,0,0,0,0
14663,LOÉLINE,3,0.0,0.666666666666667,0.333333333333333,0.0,0.0,0,0,1,0,0,0,0
14664,LOÉLIÄ,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14665,LOÉLY,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
14666,LOÉMIE,2,0.5,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0
14667,LOÉNA,5,0.0,0.4,0.2,0.0,0.4,0,0,1,0,0,0,0
14668,LOÉSIANE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14669,LOÉVA,4,0.5,0.25,0.0,0.0,0.25,0,0,1,0,0,0,0
14670,LOÉVAN,12,0.0833333333333333,0.583333333333333,0.25,0.0833333333333333,0.0,0,0,1,0,0,0,0
14671,LOË,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14672,LOËLIA,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14673,LOËLIE,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14674,LOËLINE,2,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
14675,LOËLYA,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14676,LOËLYNE,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14677,LOËVA,4,0.0,0.25,0.5,0.25,0.0,0,0,1,0,0,0,0
14678,LOËVAN,7,0.0,0.714285714285714,0.285714285714286,0.0,0.0,0,0,1,0,0,0,0
14679,LOËZA,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14680,LOÏC,124,0.129032258064516,0.25,0.354838709677419,0.137096774193548,0.129032258064516,1,0,0,0,0,0,0
14681,LOÏCE,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
14682,LOÏCIA,11,0.0909090909090909,0.181818181818182,0.272727272727273,0.181818181818182,0.272727272727273,0,0,1,0,0,0,0
14683,LOÏCK,7,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0.0,0,0,1,0,0,0,0
14684,LOÏCYA,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
14685,LOÏDHY,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14686,LOÏK,5,0.4,0.0,0.4,0.2,0.0,0,0,1,0,0,0,0
14687,LOÏNA,2,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
14688,LOÏNE,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14689,LOÏS,146,0.089041095890411,0.198630136986301,0.39041095890411,0.171232876712329,0.150684931506849,1,0,0,0,0,0,0
14690,LOÏSA,2,0.0,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0
14691,LOÏSE,22,0.0454545454545455,0.0,0.318181818181818,0.318181818181818,0.318181818181818,0,0,1,0,0,0,0
14692,LOÏSSIA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14693,LOÏZ,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14694,LOÏZA,5,0.0,0.2,0.4,0.2,0.2,0,0,0,0,1,0,0
14695,LOÏZE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14696,LUA,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0
14697,LUABALA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
14698,LUAM,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14699,LUAN,16,0.1875,0.3125,0.375,0.125,0.0,0,0,1,0,0,0,0
14700,LUANA,6,0.166666666666667,0.5,0.333333333333333,0.0,0.0,0,0,1,0,0,0,0
14701,LUANE,4,0.0,0.25,0.5,0.25,0.0,0,0,1,0,0,0,0
14702,LUANN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0
14703,LUANNE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
14704,LUARD,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14705,LUBAC,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
14706,LUBAKI,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
